Comment,Designator,Footprint,LCSC
FerriteBead,"FB1,FB2",L_0805_2012Metric,C1015
10k,"R6,R9",R_0805_2012Metric,C17414
470,R12,R_0805_2012Metric,C17470
90k,"R10,R11,R8",R_0805_2012Metric,C17514
4k7,"R1,R2,R3,R4,R5",R_0805_2012Metric,C17710
LM4040DBZ-3,U4,SOT-23,C181416
1N4148WS,"D2,D3",D_SOD-323,C2128
BC848,"Q1,Q2,Q3",SOT-23,C2145
B120-E3,"D1,D4",D_SMA,C2480
10k,R7,R_0805_2012Metric,C25271
1u,"C1,C3,C4",C_0805_2012Metric,C28323
LM2904,U8,SO-8_3.9x4.9mm_P1.27mm,C2941725
10u,C2,C_0805_2012Metric,C440198
MCP1700x-330xxTT,U7,SOT-23,C5446
EL3H7(C)(TA)-G,U6,SOIC-4_4.55x2.6mm_P1.27mm,C92243
2V5,D5,D_SOD-123,
