Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,157.861913,-65.911423,180.0,top
C2,10u,C_0805_2012Metric,146.781769,-93.954226,-90.0,top
C3,1u,C_0805_2012Metric,158.308091,-81.225333,180.0,top
C4,1u,C_0805_2012Metric,158.890177,-73.82092,180.0,top
C5,1u,C_0805_2012Metric,151.393788,-100.295237,180.0,top
D1,D_Schottky,D_SOD-523,146.712152,-76.368725,90.0,top
D2,D_Schottky,D_SOD-523,149.828725,-92.138682,0.0,top
D3,D_Schottky,D_SOD-523,149.83676,-89.517984,180.0,top
D4,D_Schottky,D_SOD-523,150.767685,-105.163725,180.0,top
FB1,FerriteBead,L_0805_2012Metric,155.985156,-77.202923,-90.0,top
FB2,FerriteBead,L_0805_2012Metric,157.901091,-77.197313,-90.0,top
FB3,FerriteBead,L_0805_2012Metric,159.864343,-77.273284,90.0,top
"GPIO3,2,G1",Conn_01x02_Pin,PinHeader_1x03_P2.54mm_Vertical,117.922597,-81.668725,0.0,top
"GPIO16,17",Conn_01x02_Pin,PinHeader_1x03_P2.54mm_Vertical,149.604682,-121.049736,90.0,top
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,163.647597,-89.288725,-90.0,top
Q1,BC848,SOT-723,149.901602,-116.066166,0.0,top
Q2,BC848,SOT-723,149.903274,-113.568955,0.0,top
Q3,BC848,SOT-723,149.955622,-110.977694,0.0,top
R1,4k7,R_0805_2012Metric,149.842099,-87.146713,180.0,top
R2,4k7,R_0805_2012Metric,146.885302,-116.054713,0.0,top
R3,4k7,R_0805_2012Metric,146.875748,-113.566636,0.0,top
R4,4k7,R_0805_2012Metric,146.855097,-111.003868,0.0,top
R5,4k7,R_0805_2012Metric,153.482597,-111.513725,-90.0,top
R6,1M,R_0805_2012Metric,153.376825,-85.427404,180.0,top
R7,1M,R_0805_2012Metric,146.765981,-90.225249,-90.0,top
R8,100k,R_0805_2012Metric,158.27044,-83.420205,180.0,top
R9,1M,R_0805_2012Metric,158.205097,-85.478725,180.0,top
R10,91k,R_0805_2012Metric,153.30111,-81.216412,180.0,top
R11,10k,R_0805_2012Metric,153.328329,-83.369506,180.0,top
R12,470,R_0805_2012Metric,150.802668,-107.703725,180.0,top
U3,LT1175-5_SOT223,SOT-89-3,157.049603,-69.57412,90.0,top
U4,LM4040DBZ-3,SOT-23,146.844017,-83.20111,270.0,top
U5,ADS1110,SOT-23-6,147.136762,-98.147803,180.0,top
U6,EL3H7(C)(TA)-G,SOIC-4_4.55x2.6mm_P1.27mm,147.132597,-105.238725,0.0,top
U7,MCP1700x-330xxTT,SOT-23,115.715097,-75.318725,180.0,top
U8,LM2904,SO-8_3.9x4.9mm_P1.27mm,156.057597,-91.828725,180.0,top
Z1,2V4,D_SOD-323,149.869351,-94.485185,0.0,top
